category,color,currentTrial,currentBlock,subject,curID,colorname
Red,33,0,0,19,25372,red
Pink,337,1,0,19,25372,pink
Green,168,2,0,19,25372,green
Brown,91,3,0,19,25372,brown
Purple,281,4,0,19,25372,purple
Yellow,124,5,0,19,25372,yellow
Blue,228,6,0,19,25372,blue
Orange,66,7,0,19,25372,orange
Purple,289,0,1,19,25372,purple
Orange,57,1,1,19,25372,orange
Green,172,2,1,19,25372,green
Brown,91,3,1,19,25372,brown
Pink,321,4,1,19,25372,pink
Yellow,123,5,1,19,25372,yellow
Red,31,6,1,19,25372,red
Blue,239,7,1,19,25372,blue
Brown,89,0,0,20,25477,brown
Green,158,1,0,20,25477,green
Purple,275,2,0,20,25477,purple
Yellow,94,3,0,20,25477,yellow
Blue,229,4,0,20,25477,blue
Red,38,5,0,20,25477,red
Orange,63,6,0,20,25477,orange
Pink,333,7,0,20,25477,pink
Pink,335,0,1,20,25477,pink
Orange,54,1,1,20,25477,orange
Brown,100,2,1,20,25477,brown
Green,159,3,1,20,25477,green
Red,32,4,1,20,25477,red
Blue,235,5,1,20,25477,blue
Yellow,83,6,1,20,25477,yellow
Purple,284,7,1,20,25477,purple
Orange,65,0,0,21,25486,orange
Blue,233,1,0,21,25486,blue
Pink,353,2,0,21,25486,pink
Purple,297,3,0,21,25486,purple
Green,179,4,0,21,25486,green
Brown,105,5,0,21,25486,brown
Yellow,120,6,0,21,25486,yellow
Red,46,7,0,21,25486,red
Brown,104,0,1,21,25486,brown
Yellow,124,1,1,21,25486,yellow
Pink,341,2,1,21,25486,pink
Orange,62,3,1,21,25486,orange
Purple,295,4,1,21,25486,purple
Blue,245,5,1,21,25486,blue
Red,32,6,1,21,25486,red
Green,192,7,1,21,25486,green
Red,33,0,0,22,25572,red
Brown,82,1,0,22,25572,brown
Pink,349,2,0,22,25572,pink
Purple,273,3,0,22,25572,purple
Yellow,110,4,0,22,25572,yellow
Orange,68,5,0,22,25572,orange
Blue,222,6,0,22,25572,blue
Green,164,7,0,22,25572,green
Yellow,111,0,1,22,25572,yellow
Pink,329,1,1,22,25572,pink
Blue,230,2,1,22,25572,blue
Brown,91,3,1,22,25572,brown
Red,31,4,1,22,25572,red
Green,162,5,1,22,25572,green
Orange,60,6,1,22,25572,orange
Purple,279,7,1,22,25572,purple
Pink,333,0,0,23,25794,pink
Purple,286,1,0,23,25794,purple
Blue,240,2,0,23,25794,blue
Yellow,112,3,0,23,25794,yellow
Red,45,4,0,23,25794,red
Orange,78,5,0,23,25794,orange
Green,152,6,0,23,25794,green
Brown,97,7,0,23,25794,brown
Orange,62,0,1,23,25794,orange
Blue,240,1,1,23,25794,blue
Pink,341,2,1,23,25794,pink
Yellow,111,3,1,23,25794,yellow
Purple,282,4,1,23,25794,purple
Red,38,5,1,23,25794,red
Brown,94,6,1,23,25794,brown
Green,159,7,1,23,25794,green
Green,161,0,0,24,25805,green
Yellow,101,1,0,24,25805,yellow
Orange,71,2,0,24,25805,orange
Purple,274,3,0,24,25805,purple
Red,34,4,0,24,25805,red
Brown,98,5,0,24,25805,brown
Pink,355,6,0,24,25805,pink
Blue,230,7,0,24,25805,blue
Green,172,0,1,24,25805,green
Red,37,1,1,24,25805,red
Yellow,108,2,1,24,25805,yellow
Pink,349,3,1,24,25805,pink
Purple,276,4,1,24,25805,purple
Brown,99,5,1,24,25805,brown
Blue,236,6,1,24,25805,blue
Orange,62,7,1,24,25805,orange
Brown,98,0,0,25,25961,brown
Green,150,1,0,25,25961,green
Orange,59,2,0,25,25961,orange
Yellow,117,3,0,25,25961,yellow
Pink,319,4,0,25,25961,pink
Red,13,5,0,25,25961,red
Purple,274,6,0,25,25961,purple
Blue,239,7,0,25,25961,blue
Pink,314,0,1,25,25961,pink
Orange,60,1,1,25,25961,orange
Red,25,2,1,25,25961,red
Purple,281,3,1,25,25961,purple
Brown,100,4,1,25,25961,brown
Green,155,5,1,25,25961,green
Blue,232,6,1,25,25961,blue
Yellow,113,7,1,25,25961,yellow
Orange,78,0,0,26,26805,orange
Brown,97,1,0,26,26805,brown
Red,37,2,0,26,26805,red
Yellow,79,3,0,26,26805,yellow
Green,158,4,0,26,26805,green
Blue,235,5,0,26,26805,blue
Pink,347,6,0,26,26805,pink
Purple,281,7,0,26,26805,purple
Brown,95,0,1,26,26805,brown
Blue,241,1,1,26,26805,blue
Pink,344,2,1,26,26805,pink
Purple,281,3,1,26,26805,purple
Yellow,85,4,1,26,26805,yellow
Red,44,5,1,26,26805,red
Green,158,6,1,26,26805,green
Orange,72,7,1,26,26805,orange
Brown,100,0,0,27,26881,brown
Red,60,1,0,27,26881,red
Orange,71,2,0,27,26881,orange
Pink,334,3,0,27,26881,pink
Yellow,107,4,0,27,26881,yellow
Purple,276,5,0,27,26881,purple
Blue,232,6,0,27,26881,blue
Green,144,7,0,27,26881,green
Pink,336,0,1,27,26881,pink
Orange,66,1,1,27,26881,orange
Yellow,93,2,1,27,26881,yellow
Blue,226,3,1,27,26881,blue
Purple,274,4,1,27,26881,purple
Green,133,5,1,27,26881,green
Brown,103,6,1,27,26881,brown
Red,56,7,1,27,26881,red
Orange,64,0,0,28,26882,orange
Yellow,110,1,0,28,26882,yellow
Purple,289,2,0,28,26882,purple
Red,32,3,0,28,26882,red
Green,162,4,0,28,26882,green
Pink,346,5,0,28,26882,pink
Blue,234,6,0,28,26882,blue
Brown,100,7,0,28,26882,brown
Blue,237,0,1,28,26882,blue
Green,164,1,1,28,26882,green
Brown,96,2,1,28,26882,brown
Pink,339,3,1,28,26882,pink
Purple,293,4,1,28,26882,purple
Red,45,5,1,28,26882,red
Orange,63,6,1,28,26882,orange
